date,BAC,C,CSCO,CVX,GE,IBM,INTC,JNJ,JPM,MRK,MSFT,ORCL,PEP,PFE,PG,T,VZ,WFC,WMT,XOM
2004-12-31,46.9900016784668,481.800003051758,19.3199996948242,52.5099983215332,36.5,98.5800018310547,23.3899993896484,63.4199981689453,39.0099983215332,32.1399993896484,26.7199993133545,13.7200002670288,52.2000007629395,26.8899993896484,55.0800018310547,25.7700004577637,36.3808451578119,31.0750007629395,52.8199996948242,51.2599983215332
2005-01-31,46.3699989318848,490.499992370605,18.0400009155273,54.4000015258789,36.1300010681152,93.4199981689453,22.4500007629395,64.6999969482422,37.3300018310547,28.0499992370605,26.2800006866455,13.7700004577637,53.7000007629395,24.1599998474121,53.2299995422363,23.7600002288818,31.9623386414595,30.6499996185303,52.4000015258789,51.5999984741211
2005-02-28,46.6500015258789,477.200012207031,17.4200000762939,62.0800018310547,35.2000007629395,92.5800018310547,23.9899997711182,65.5999984741211,36.5499992370605,31.7000007629395,25.1599998474121,12.9499998092651,53.8600006103516,26.2900009155273,53.0900001525879,24.0599994659424,32.3036064911685,29.6900005340576,51.6100006103516,63.310001373291
2005-03-31,44.0999984741211,449.39998626709,17.8899993896484,58.310001373291,36.060001373291,91.379997253418,23.2299995422363,67.1600036621094,34.5999984741211,32.3699989318848,24.1700000762939,12.4799995422363,53.0299987792969,26.2700004577637,53.0,23.6900005340576,31.8815121356302,29.8999996185303,50.1100006103516,59.5999984741211
2005-04-29,45.0400009155273,469.599990844727,17.2700004577637,52.0,36.2000007629395,76.379997253418,23.5200004577637,68.629997253418,35.4900016784668,33.9000015258789,25.2999992370605,11.5600004196167,55.6399993896484,27.1700000762939,54.1500015258789,23.7999992370605,32.1509326797718,29.9699993133545,47.1399993896484,57.0299987792969
2005-05-31,46.3199996948242,471.100006103516,19.3999996185303,53.7799987792969,36.4799995422363,75.5500030517578,26.9599990844727,67.0999984741211,35.75,32.439998626709,25.7999992370605,12.8000001907349,56.2599983215332,27.8999996185303,55.1500015258789,23.3799991607666,31.7737446031472,30.2049999237061,47.2299995422363,56.2000007629395
2005-06-30,45.6100006103516,462.299995422363,19.0799999237061,55.9199981689453,34.6500015258789,74.1999969482422,26.0200004577637,65.0,35.3199996948242,30.7999992370605,24.8400001525879,13.1999998092651,53.9300003051758,27.5799999237061,52.75,23.75,31.0283442242919,30.7900009155273,48.2000007629395,57.4700012207031
2005-07-29,43.5999984741211,435.0,19.1499996185303,58.0099983215332,34.5,83.4599990844727,27.1399993896484,63.9599990844727,35.1399993896484,31.0599994659424,25.6100006103516,13.5699996948242,54.5299987792969,26.5,55.6300010681152,24.4500007629395,30.7409618537584,30.6700000762939,49.3499984741211,58.75
2005-08-31,43.0299987792969,437.700004577637,17.6200008392334,61.4000015258789,33.6100006103516,80.620002746582,25.7199993133545,63.3899993896484,33.8899993896484,28.2299995422363,27.3799991607666,12.9899997711182,54.8499984741211,25.4799995422363,55.4799995422363,24.0799999237061,29.3758938807907,29.8099994659424,44.9599990844727,59.9000015258789
2005-09-30,42.0999984741211,455.200004577637,17.9200000762939,64.7300033569336,33.6699981689453,80.2200012207031,24.6499996185303,63.2799987792969,33.9300003051758,27.2099990844727,25.7299995422363,12.3999996185303,56.7099990844727,24.9699993133545,59.4599990844727,23.9699993133545,29.3579320543988,29.2849998474121,43.8199996948242,63.5400009155273
2005-10-31,43.7400016784668,457.799987792969,17.4500007629395,57.0699996948242,33.9099998474121,81.879997253418,23.5,62.6199989318848,36.6199989318848,28.2199993133545,25.7000007629395,12.6800003051758,59.0800018310547,21.7399997711182,55.9900016784668,23.8500003814697,28.2982099912904,30.1000003814697,47.310001373291,56.1399993896484
2005-11-30,45.8899993896484,485.499992370605,17.5400009155273,57.310001373291,35.7200012207031,88.9000015258789,26.6800003051758,61.75,38.25,29.3999996185303,27.6800003051758,12.6000003814697,59.2000007629395,21.2000007629395,57.189998626709,24.9099998474121,28.7203026338946,31.4249992370605,48.560001373291,58.0299987792969
2005-12-30,46.1500015258789,485.299987792969,17.1200008392334,56.7700004577637,35.0499992370605,82.1999969482422,24.9599990844727,60.0999984741211,39.689998626709,31.8099994659424,26.1499996185303,12.210000038147,59.0800018310547,23.3199996948242,57.8800010681152,24.4899997711182,27.0498921769356,31.4150009155273,46.7999992370605,56.1699981689453
2006-01-31,44.2299995422363,465.800018310547,18.5699996948242,59.3800010681152,32.75,81.3000030517578,21.2549991607666,57.5400009155273,39.75,34.5,28.1499996185303,12.5699996948242,57.1800003051758,25.6800003051758,59.2299995422363,25.9500007629395,28.4329202633611,31.1800003051758,46.1100006103516,62.75
2006-02-28,45.8499984741211,463.699989318848,20.2399997711182,56.4799995422363,32.8699989318848,80.2399978637695,20.6000003814697,57.6500015258789,41.1399993896484,34.8600006103516,26.8700008392334,12.4200000762939,59.1100006103516,26.1900005340576,59.9300003051758,27.5900001525879,30.2649854449127,32.0999984741211,45.3600006103516,59.3699989318848
2006-03-31,45.5400009155273,472.299995422363,21.6700000762939,57.9700012207031,34.7799987792969,82.4700012207031,19.4599990844727,59.2200012207031,41.6399993896484,35.2299995422363,27.2099990844727,13.6899995803833,57.7900009155273,24.9200000762939,57.6300010681152,27.0400009155273,30.5882914682299,31.9349994659424,47.2400016784668,60.8600006103516
